MethodName,en,es
_LanguageCode,en,es
_DisplayName,English,Español
Toggle me with %s,Toggle me with %s,Activa la ventana con %s
Toggle Online with %s,Toggle Online with %s,Abrir en línea con %s
Toggle HUD with %s,Toggle HUD with %s,Ocultar HUD con %s
Generate Debug Logs,Generate Debug Logs,Generar registros de DEBUG
Debug_log_details,Write DEBUG.txt with detailed runtime information. Saved to settings.ini for future sessions.,Escribe DEBUG.txt con información detallada de ejecución. Se guarda en settings.ini para futuras sesiones.
Online,Online,Online
Gameplay settings,Gameplay settings,Opciones de juego
Custom palettes,Custom palettes,Paletas personalizadas
Hitbox overlay,Hitbox overlay,Superposición de hitbox
FrameHistory,FrameHistory,Historial de Frames
Framedata,Framedata,Datos de Frames
Avatar settings,Avatar settings,Opciones de avatar
Controller Settings,Controller Settings,Opciones de control
Local Controller Override,Local Controller Override,Anulación de mandos local
Controller_override_help,Choose which connected controller or the keyboard should be Player 1 and Player 2. Use Refresh when devices change.,"Elige qué controlador o teclado deben ser Jugador 1 y Jugador 2. Utiliza el boton ""Actualizar"" cuando cambien los dispositivos."
Refresh controllers,Refresh controllers,Actualizar Mandos
Controller_refresh_help,Reload the controller list and reinitialize input slots to match connected devices.,Recarga la lista de controladores y reinicializa las ranuras de entrada para coincidir con los dispositivos conectados.
Open Joy.cpl,Open Joy.cpl,Abrir Joy.cpl
Auto-refresh,Auto-refresh,Actualización automática
Auto_refresh_warning,"Automatically refresh controller slots when devices change. The internal call to refresh controllers may freeze the game for a few moments, so only enable this if you are okay with short pauses.","Actualiza automáticamente los mandos cuando cambian los dispositivos. La llamada interna para actualizarlos puede congelar el juego por unos momentos, así que actívalo solo si aceptas pausas cortas."
No input devices detected.,No input devices detected.,No se detectaron dispositivos de entrada.
STEAM INPUT: %s,STEAM INPUT: %s,STEAM INPUT: %s
ON,ON,ACTIVADO
OFF,OFF,DESACTIVADO
Steam_input_active_notice,"Steam Input appears to be active.
This will disable some of this section's features.","Steam Input parece estar activo.
Esto deshabilitará algunas funciones de esta sección."
Steam_input_limitations,"The internal behavior of Steam Input hides some controllers from the game's process, thus making some controller related features impossible/work in unintended ways.

The disabled features include:
- Local Controller Override
- Opening Joy.cpl","El comportamiento interno de Steam Input oculta algunos controladores del proceso del juego, lo que hace que ciertas funciones relacionadas con controladores sean imposibles o funcionen de forma inesperada.

Las funciones deshabilitadas incluyen:
- Anulación de controlador local
- Abrir Joy.cpl"
Swap P1 Controller to P2,Swap P1 Controller to P2,Cambiar el controlador de P1 a P2
Controller_swap_hint,"Changes P1 Controller's assignment so it is recognized as P2. Internally, this is just swapping p1 with p2's game controllers.",Cambia la asignación del controlador de P1 para que se reconozca como P2. Internamente solo intercambia los controladores de juego de P1 con los de P2.
Multiple keyboards override,Multiple keyboards override,Reasignación de múltiples teclados
